# This is CartPole simulation from 17.02.2023 at time 15:20:21
# Done with git-revision: 5038d32efe89cd5b2f9f71b4db320f72139eed6e
#
# Length of experiment: 360 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m_pole: 0.087
# m_cart: 0.23
# L: 0.1975
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.5
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,Q_applied,u,target_position,target_equilibrium,L,Q_update_time,D_angle_sin,D_angle_cos,D_angleD,D_position,D_positionD
1.24,-1.0198345,6.719959,-36.14941,0.52350694,-0.8520214,-0.02305717,0.2826693,-2.0309975,0.65133816,0.1406762,0.36857164,0.054859918,1.0,0.1975,0.015683584,3.6888068,5.2226744,-35.407314,0.2640479,-2.085149
1.26,-0.89186674,6.011813,-20.519861,0.6279603,-0.77824533,-0.017776217,0.24096636,3.692101,0.5755153,0.7854645,2.0579169,0.055798963,1.0,0.1975,0.015376708,3.9156623,4.3124537,-20.302935,0.27068475,3.0547476
1.28,-0.77530247,5.605755,-12.547261,0.7142093,-0.69993216,-0.012362528,0.30206126,5.101844,0.43227828,1.0817429,2.8341663,0.056787122,1.0,0.1975,0.015222458,4.1252475,3.620935,-12.728894,0.3437759,4.33691
1.3,-0.6654679,5.351177,-21.338139,0.78662795,-0.6174273,-0.0054870164,0.38879937,0.65568084,0.23109014,0.7813156,2.047047,0.05782037,1.0,0.1975,0.01578,4.219368,2.9731066,-20.415133,0.39367023,0.4726312
1.32,-0.5621889,4.9428725,-42.74524,0.8460904,-0.5330395,0.0023864275,0.39825204,-7.0385056,-0.036844812,0.025233898,0.06611281,0.058894683,1.0,0.1975,0.016023,3.979651,2.259656,-39.04494,0.33962825,-6.1686516
1.34,-0.47062853,4.1619744,-51.544888,0.89128345,-0.45344657,0.009178986,0.27487913,-10.170302,-0.24807504,-0.4803021,-1.2583914,0.06000604,1.0,0.1975,0.016028667,3.382069,1.564841,-46.131393,0.19090655,-8.7857275
1.36,-0.3960805,3.2393475,-59.896057,0.92258024,-0.38580525,0.012997113,0.099164754,-12.942775,-0.42050642,-1.0495875,-2.7499192,0.06115042,1.0,0.1975,0.015618042,2.5544667,0.9869436,-52.833466,-0.0071426923,-11.085834
1.38,-0.3413038,2.1826792,-19.515135,0.9423191,-0.33471596,0.012854259,-0.12255172,-1.9352944,-0.4753404,-0.3471306,-0.9094821,0.062323797,1.0,0.1975,0.016143916,1.9132081,0.63643515,-17.795311,-0.13830362,-1.6321843
1.4,-0.30097532,1.8267733,-44.43772,0.9550478,-0.29645184,0.0100881895,-0.15519537,-9.179815,-0.5600072,-1.1213949,-2.9380543,0.06352215,1.0,0.1975,0.015272583,1.397313,0.41151682,-39.0071,-0.23021087,-7.798257
1.42,-0.27184132,1.046632,-23.825375,0.9632781,-0.2685056,0.0054839766,-0.31116036,-3.7629294,-0.5288074,-0.8732028,-2.2877913,0.064741455,1.0,0.1975,0.015395625,0.81628895,0.22011289,-21.421558,-0.34183276,-3.1838615
1.44,-0.25493214,0.61819875,17.855324,0.9676804,-0.25217974,-0.0013527129,-0.3748379,7.424745,-0.46706763,0.10195723,0.26712793,0.06597769,1.0,0.1975,0.01568725,0.7346421,0.18551666,14.031382,-0.31414044,6.3143983
1.46,-0.23977792,0.8988261,-33.868557,0.9713907,-0.23748691,-0.0076355156,-0.24855006,-6.7695684,-0.52071977,-1.0570749,-2.769536,0.06722684,1.0,0.1975,0.015165791,0.5995935,0.14267875,-29.824965,-0.30376342,-5.73343
1.48,-0.22745115,0.30232736,11.419214,0.9742443,-0.22549506,-0.013710778,-0.36321855,5.361659,-0.38083357,-0.08565563,-0.22441775,0.06848487,1.0,0.1975,0.015064125,0.3795173,0.086286746,8.547593,-0.31943026,4.5521393
1.5,-0.21966708,0.47327906,-44.58618,0.97597003,-0.21790472,-0.020099377,-0.27217585,-9.832779,-0.31597587,-1.4001588,-3.6684158,0.06974776,1.0,0.1975,0.015019875,0.100840725,0.022405406,-38.927784,-0.35238022,-8.329497
1.52,-0.21760109,-0.30527583,13.411233,0.97641814,-0.2158879,-0.027146975,-0.43876565,5.781379,-0.042598456,-0.1853302,-0.4855651,0.0710115,1.0,0.1975,0.015398709,-0.19843002,-0.044295233,10.020978,-0.3916421,4.892077
1.54,-0.22166736,-0.10485646,42.22725,0.97553223,-0.2198565,-0.03497981,-0.3409242,13.608069,0.1056117,0.7556075,1.9796915,0.07227205,1.0,0.1975,0.015215292,0.2271498,0.050637174,34.56573,-0.22990614,11.533749
1.56,-0.21701285,0.58645755,-10.3984585,0.976545,-0.21531351,-0.039577927,-0.11024946,-0.6323342,0.13468316,-0.2111189,-0.5531315,0.0735254,1.0,0.1975,0.015482541,0.48489255,0.10439105,-9.830621,-0.115358435,-0.5270887
1.58,-0.20709272,0.38984415,39.882675,0.9786328,-0.20561561,-0.041885108,-0.120791286,12.798672,0.24922556,1.0724528,2.8098261,0.074767515,1.0,0.1975,0.016029334,0.69591546,0.14106347,32.900085,-0.016295739,10.861768
