# This is CartPole simulation from 17.02.2023 at time 15:31:39
# Done with git-revision: 5038d32efe89cd5b2f9f71b4db320f72139eed6e
#
# Length of experiment: 360 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m_pole: 0.087
# m_cart: 0.23
# L: 0.1975
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.5
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,Q_applied,u,target_position,target_equilibrium,L,Q_update_time,D_angle_sin,D_angle_cos,D_angleD,D_position,D_positionD
0.92,2.7956052,-2.4984238,14.25356,-0.940741,0.33912578,0.10921285,-0.0715671,-0.41484606,-0.1680026,-0.07866782,-0.20610967,0.04938281,-1.0,0.1975,0.016577708,2.206706,0.8550235,14.873948,-0.07512018,-0.38098544
0.94,2.7482696,-2.2009451,22.333344,-0.92364055,0.38325986,0.10771045,-0.079186805,-2.2620394,-0.1646923,-0.27039954,-0.70844674,0.049175482,-1.0,0.1975,0.015733166,1.8343496,0.80459195,21.755514,-0.09772862,-1.931991
0.96,2.708206,-1.7658353,3.5714746,-0.9075487,0.41994682,0.10575588,-0.11782659,3.5313616,-0.17608306,0.24259624,0.6356021,0.04902192,-1.0,0.1975,0.016070085,1.5482379,0.7490054,6.066471,-0.08908865,2.9801626
0.98,2.6738062,-1.6445056,29.241558,-0.8925686,0.45091164,0.103974104,-0.058223214,-3.6444333,-0.17036948,-0.36778325,-0.96359205,0.048924565,-1.0,0.1975,0.015571667,1.2314167,0.6437248,27.751537,-0.08800895,-3.0978827
1.0,2.646015,-1.0894754,48.41701,-0.8796941,0.47553995,0.10221393,-0.12018081,-9.17241,-0.16933365,-1.0455643,-2.7393782,0.04888588,-1.0,0.1975,0.016377417,0.5944094,0.3265503,43.978004,-0.1951931,-7.806705
1.02,2.6324508,-0.2099161,28.734234,-0.8731631,0.48742813,0.09831007,-0.27631477,-3.1860683,-0.17358164,-0.7238675,-1.8965327,0.04892221,-1.0,0.1975,0.016134124,-0.03512803,-0.019592065,27.18734,-0.302416,-2.7192426
1.04,2.6332552,0.3338302,-0.6957102,-0.87355494,0.48672557,0.092261754,-0.33069956,5.670078,-0.15077344,0.08033091,0.21046697,0.049055543,-1.0,0.1975,0.015877375,-0.29925883,-0.16540305,1.9119638,-0.28420267,4.84659
1.06,2.6400938,0.37206945,16.01037,-0.876863,0.4807404,0.086577706,-0.23376785,0.56403995,-0.13438115,-0.26484925,-0.693905,0.049282234,-1.0,0.1975,0.016372332,-0.45453978,-0.24615403,16.133026,-0.22913587,0.483281
1.08,2.650432,0.6947316,-2.3504624,-0.8817861,0.47164956,0.081994966,-0.22410218,5.9376416,-0.12374033,0.29830682,0.7815638,0.04959826,-1.0,0.1975,0.016264834,-0.60887694,-0.32030672,0.26680556,-0.17538571,5.0796757
1.1,2.664192,0.7000677,48.026062,-0.88819224,0.45947203,0.078487255,-0.12250877,-9.175524,-0.12650403,-1.051983,-2.7561953,0.049999602,-1.0,0.1975,0.016408082,-0.98845905,-0.49755323,43.34152,-0.19776133,-7.8454823
1.12,2.6863248,1.5668973,16.627014,-0.8981433,0.43970287,0.07453203,-0.27941826,-0.09771342,-0.119834885,-0.415518,-1.088657,0.05048224,-1.0,0.1975,0.016061418,-1.5515149,-0.7268883,16.033617,-0.28016257,-0.072470374
1.14,2.7205935,1.8875693,4.3071537,-0.91268104,0.4086726,0.068928786,-0.28086767,3.119817,-0.10339217,-0.09854673,-0.25819242,0.051042143,-1.0,0.1975,0.016988166,-1.77722,-0.75493824,5.1434746,-0.25516102,2.6891637
1.16,2.7592142,1.9904387,12.097085,-0.9277798,0.37312824,0.06382557,-0.22708444,0.4805689,-0.09180109,-0.27198678,-0.71260536,0.051675294,-1.0,0.1975,0.01660925,-1.9611318,-0.74133646,11.596357,-0.22301081,0.43574017
1.18,2.8011487,2.2223656,9.6485815,-0.9426065,0.33390564,0.05936536,-0.21836965,0.7452593,-0.093689255,-0.23693442,-0.6207682,0.052377667,-1.0,0.1975,0.016113292,-2.1913478,-0.7198149,9.17374,-0.21207748,0.67045426
1.2,2.8472838,2.4058414,16.448364,-0.9570029,0.29007846,0.055123787,-0.2049605,-1.5890621,-0.085865825,-0.45117286,-1.1820729,0.053145245,-1.0,0.1975,0.016558792,-2.4525898,-0.67578024,14.657559,-0.21774156,-1.311495
1.22,2.898169,2.6989923,-24.79912,-0.97051847,0.24102671,0.05076896,-0.23119037,9.124647,-0.08901793,0.5367766,1.4063547,0.053974003,-1.0,0.1975,0.0165595,-2.4372578,-0.54106766,-20.97251,-0.15623286,7.8216805
1.24,2.948106,2.2795424,22.337738,-0.9813398,0.1922816,0.047644306,-0.07475691,-4.1057696,-0.089185484,-0.4825555,-1.2642953,0.054859918,-1.0,0.1975,0.01625725,-2.4276989,-0.41387418,19.096178,-0.10803818,-3.438045
1.26,2.9973655,2.6614656,-14.63956,-0.9896173,0.14372768,0.045483544,-0.14351775,5.2811623,-0.07441867,0.2893547,0.75810933,0.055798963,-1.0,0.1975,0.017160209,-2.521943,-0.30109018,-12.760056,-0.10006102,4.5410414
1.28,3.048168,2.4062648,-3.7981617,-0.9956391,0.09328886,0.043482326,-0.052697,1.888572,-0.063522264,0.111304015,0.2916165,0.056787122,-1.0,0.1975,0.016467959,-2.3666182,-0.16521828,-3.7233627,-0.036982853,1.6556871
1.3,3.09562,2.3317976,-22.697926,-0.99894345,0.045956545,0.04274267,-0.019583289,6.4007907,-0.041037746,0.5917316,1.5503367,0.05782037,-1.0,0.1975,0.01648625,-2.1421337,-0.052585933,-19.901648,0.0328826,5.4672585
1.32,3.138479,1.9337627,33.144726,-0.9999952,0.0031136542,0.043400325,0.08976243,-8.725744,-0.02387904,-0.67488074,-1.7681875,0.058894683,-1.0,0.1975,0.016066125,-2.198502,0.041505735,27.11223,0.018934552,-7.327487
1.34,-3.100725,2.4760067,-62.870434,-0.99916506,-0.040856346,0.043779016,-0.056787174,16.132524,-0.0068615647,1.4349093,3.7594624,0.06000604,-1.0,0.1975,0.015701791,-1.9541942,0.11827063,-54.19844,0.07487375,13.677336
1.36,-3.061567,1.392039,-5.1380396,-0.99679965,-0.07994019,0.04527649,0.2167593,0.5503114,0.0029714021,0.4266134,1.117727,0.06115042,-1.0,0.1975,0.015767166,-1.3386415,0.12548876,-5.3740373,0.22140054,0.4935113
1.38,-3.034676,1.2845583,5.4049706,-0.9942899,-0.106713,0.049704496,0.22662951,-2.5031466,0.011104097,0.14383216,0.37684023,0.062323797,-1.0,0.1975,0.01604275,-1.3126185,0.1584591,3.3899937,0.20639096,-2.0881248
1.4,-3.0082324,1.3523581,0.22511858,-0.9911207,-0.13296534,0.05383231,0.18486705,-1.395741,0.008705392,0.1675654,0.43902135,0.06352215,-1.0,0.1975,0.015699709,-1.332355,0.19704719,-1.145662,0.17364918,-1.1523869
1.42,-2.9812946,1.3294449,10.620659,-0.98717976,-0.15961242,0.05730529,0.16181934,-4.4388213,0.019384993,-0.1755441,-0.4599255,0.064741455,-1.0,0.1975,0.016149376,-1.3862593,0.24420795,7.4518785,0.1258149,-3.7235487
1.44,-2.9531415,1.4784832,14.220406,-0.9822956,-0.18733774,0.059821602,0.08734799,-5.7050056,0.025261337,-0.4423118,-1.1588569,0.06597769,-1.0,0.1975,0.016164666,-1.5516542,0.3214869,10.248218,0.041048642,-4.790259
1.46,-2.921448,1.6834474,28.982895,-0.97586584,-0.2183708,0.060642574,-0.008457097,-10.04121,0.030023728,-1.0488771,-2.7480578,0.06722684,-1.0,0.1975,0.016994875,-1.8534648,0.452048,22.351381,-0.090030484,-8.445771
